fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	ganancia	iteracion
20220928 191459	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1457	TRUE	113111	0.0050074725036759	0.921187197520676	50	87	8345	26750000	46
20220928 192045	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1064	TRUE	113111	0.00502747595764402	0.276039158211251	5	26	9272	27300000	47
20220928 192619	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	988	TRUE	113111	0.00503411244868971	0.360776066027459	2013	16	9330	26780000	48
20220928 193440	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1436	TRUE	113111	0.00523342698527852	0.233161142698656	5	209	8330	26700000	49
20220928 193534	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	131	TRUE	113111	0.0486211798003761	0.2492494611067	1092	194	9944	26440000	50
20220928 194118	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	864	TRUE	113111	0.00501251012486587	0.22249133323619	39	50	9191	27380000	51
20220928 194644	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1075	TRUE	113111	0.00500211579880421	0.211000026579444	34	52	9427	27070000	52
20220928 195208	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	740	TRUE	113111	0.00504941864639144	0.423233115840054	1	42	9116	27130000	53
20220928 195754	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1327	TRUE	113111	0.00500534811114454	0.200500566416479	4	37	8910	26980000	54
20220928 200435	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1393	TRUE	113111	0.00504297676173836	0.260459648522117	58	71	9164	26880000	55
20220928 200836	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	649	TRUE	113111	0.00504763877507652	0.687690733915286	455	34	9226	27150000	56
20220928 201203	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	232	TRUE	113111	0.00990336738528785	0.647095106788421	277	182	8427	26270000	57
20220928 201742	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1142	TRUE	113111	0.00510219079391278	0.218797906916096	493	51	8066	26750000	58
20220928 201822	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	147	TRUE	113111	0.0494754894963807	0.249458148123752	2628	397	9521	25840000	59
20220928 202347	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	994	TRUE	113111	0.00508284657460952	0.645851898105539	1854	52	8208	26310000	60
20220928 202442	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	133	TRUE	113111	0.0387999554279184	0.395093553380815	3077	502	9933	26300000	61
